Time	Hip_x	Hip_vel	Hip_omega	Hip_AO	Knee_x	Knee_vel	Knee_omega	Knee_AO	Ankle_x	Ankle_vel	Ankle_omega	Ankle_AO
17:54:59.091348	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.101578	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.111812	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.121941	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.132040	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.142884	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.153048	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.164640	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.174818	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.185514	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.195615	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.210123	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.220254	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.230357	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.241297	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.251884	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.264185	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.274314	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.286683	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.297624	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.308096	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.318394	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.328528	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.339665	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.350102	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.364376	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.375284	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.385374	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.395929	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.406476	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.417074	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.427896	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.438158	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.448971	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.459123	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.470021	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.480749	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.491671	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.501894	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.512060	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.526200	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.536308	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.546493	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.557900	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.568000	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.578420	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.589329	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.599457	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.609774	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.619971	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.634669	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.645129	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.655279	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.665374	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.675741	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.686007	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.696223	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.707194	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.717293	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.728233	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.738548	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.752353	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.762537	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.772762	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.783598	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.794260	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.805522	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.815717	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.829084	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.839938	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.850102	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.860376	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.870470	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.881101	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.891368	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.908211	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.919062	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.929382	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.944319	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.954481	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.965003	0	0	0	0	0	0	0	0	0	0	0	0
17:54:59.975855	0	0	0	0	0	0	0	0	0	0	0	0
