Time	Hip_x	Hip_vel	Hip_omega	Hip_AO	Knee_x	Knee_vel	Knee_omega	Knee_AO	Ankle_x	Ankle_vel	Ankle_omega	Ankle_AO
10:28:28.133567	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.144590	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.154697	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.165952	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.177602	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.187713	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.197989	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.208550	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.220558	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.230689	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.240832	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.251611	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.261816	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.272346	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.282451	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.293320	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.303664	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.314625	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.324770	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.335389	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.345560	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.356129	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.366233	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.376980	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.387655	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.398428	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.408529	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.418875	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.429071	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.439880	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.451325	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.462968	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.473234	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.484862	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.494955	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.507177	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.519683	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.530613	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.548007	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.558456	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.568562	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.579443	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.589592	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.600373	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.610535	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.621377	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.631870	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.641980	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.652399	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.662507	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.672649	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.682757	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.692853	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.702954	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.715437	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.725537	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.736366	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.747461	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.758097	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.769592	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.779693	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.789923	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.800422	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.811093	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.821762	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.836735	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.846892	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.857367	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.867679	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.879150	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.889301	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.899424	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.910420	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.921619	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.932664	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.943143	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.953580	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.963673	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.974935	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.985366	0	0	0	0	0	0	0	0	0	0	0	0
10:28:28.995731	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.006003	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.016166	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.026434	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.036541	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.047409	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.057569	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.068059	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.079004	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.089132	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.099891	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.110202	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.128162	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.138265	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.148711	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.159751	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.170586	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.181065	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.191152	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.201270	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.211376	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.221476	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.232125	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.247903	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.258428	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.268645	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.279146	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.289241	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.299721	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.310554	0	0	0	0	0	0	0	0	0	0	0	0
10:28:29.326403	0	0	0	0	0	0	0	0	0	0	0	0
