Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;Knee_x;Knee_vel;Knee_omega;Knee_AO;Ankle_x;Ankle_vel;Ankle_omega;Ankle_AO
17:05:45.152676;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.154642;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.165696;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.176406;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.186505;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.197502;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.207684;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.217856;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.228660;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.239387;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.249556;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.259602;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.269988;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.279938;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.290560;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.301479;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.311490;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.321601;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.331622;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.342304;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.352976;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.363699;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.374286;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.385137;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.395905;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.406418;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.416548;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.427677;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.437834;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.447720;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.458595;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.470982;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.481973;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.492959;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.503292;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.513926;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.523919;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.534699;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.545201;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.555934;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.566067;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.577089;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.587151;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.597369;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.607841;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.618118;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.628222;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.638288;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.649030;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.660072;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.670977;0;0;0;0;0;0;0;0;0;0;0;0
17:05:45.682083;0;0;0;0;0;0;0;0;0;0;0;0
