Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;Knee_x;Knee_vel;Knee_omega;Knee_AO;Ankle_x;Ankle_vel;Ankle_omega;Ankle_AO
17:16:19.459621;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.462509;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.472001;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.482321;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.492600;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.503231;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.513563;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.524034;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.534567;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.546952;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.557445;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.568266;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.579160;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.589372;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.600044;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.610739;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.625405;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.635762;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.646683;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.656888;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.667509;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.678198;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.688950;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.700699;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.710729;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.721728;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.732390;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.743409;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.754730;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.764321;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.775572;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.787144;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.797705;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.807996;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.818989;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.829767;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.840871;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.852941;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.862991;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.873246;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.883346;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.893525;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.904172;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.914239;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.924550;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.935101;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.945333;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.955885;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.966009;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.977010;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.987682;0;0;0;0;0;0;0;0;0;0;0;0
17:16:19.997814;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.007894;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.017970;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.028021;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.040095;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.050821;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.061346;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.071325;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.082785;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.092895;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.102899;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.113861;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.123850;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.133926;0;0;0;0;0;0;0;0;0;0;0;0
17:16:20.144723;0;0;0;0;0;0;0;0;0;0;0;0
