Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;Knee_x;Knee_vel;Knee_omega;Knee_AO;Ankle_x;Ankle_vel;Ankle_omega;Ankle_AO
17:18:33.013953;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.024824;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.034969;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.047544;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.057761;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.068355;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.078480;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.089335;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.099907;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.110038;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.120211;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.131140;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.141238;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.151359;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.161588;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.171765;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.182417;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.193106;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.203232;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.213364;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.223824;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.233916;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.244414;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.255194;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.265294;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.276141;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.286432;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.302699;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.312795;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.322913;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.334081;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.345719;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.356106;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.366205;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.376311;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.386778;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.397552;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.407661;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.417760;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.428225;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.438739;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.448838;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.459764;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.470626;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.481348;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.491441;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.509279;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.520149;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.530556;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.540728;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.551618;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.562236;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.572907;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.583072;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.593208;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.604737;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.616572;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.633316;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.643778;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.653888;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.664888;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.674981;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.685149;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.695489;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.705619;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.716027;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.726521;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.736617;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.751991;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.762082;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.772187;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.783490;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.794343;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.805257;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.815617;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.827761;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.838662;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.848769;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.858892;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.872093;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.882220;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.893038;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.903687;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.915708;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.925855;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.936617;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.947400;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.957505;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.967704;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.977800;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.987895;0;0;0;0;0;0;0;0;0;0;0;0
17:18:33.998246;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.008524;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.018622;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.034202;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.044293;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.054437;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.065466;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.076442;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.086540;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.096906;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.107034;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.117299;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.127385;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.137473;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.152337;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.162963;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.173982;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.184801;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.195412;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.205523;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.216043;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.226737;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.236872;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.246963;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.257051;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.274194;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.284425;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.295309;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.306234;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.316798;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.327329;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.337422;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.354706;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.366078;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.376470;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.387021;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.397326;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.407422;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.417510;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.432826;0;0;0;0;0;0;0;0;0;0;0;0
17:18:34.443202;0;0;0;0;0;0;0;0;0;0;0;0
