Time	Hip_x	Hip_vel	Hip_omega	Hip_AO	Knee_x	Knee_vel	Knee_omega	Knee_AO	Ankle_x	Ankle_vel	Ankle_omega	Ankle_AO
16:32:31.621452	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.631584	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.642076	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.652229	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.662959	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.673403	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.684718	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.695578	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.706517	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.717258	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.727620	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.738304	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.748426	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.758693	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.769479	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.783796	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.794660	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.806395	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.816816	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.827647	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.838654	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.849460	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.861353	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.872344	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.882593	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.892757	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.902970	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.914285	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.924707	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.940269	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.950411	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.960909	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.971375	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.981864	0	0	0	0	0	0	0	0	0	0	0	0
16:32:31.992076	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.002226	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.012918	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.023247	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.034062	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.044552	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.059191	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.069764	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.080499	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.090852	0	0	0	0	0	0	0	0	0	0	0	0
16:32:32.101013	0	0	0	0	0	0	0	0	0	0	0	0
