Time	Hip_x	Hip_vel	Hip_omega	Hip_AO	Knee_x	Knee_vel	Knee_omega	Knee_AO	Ankle_x	Ankle_vel	Ankle_omega	Ankle_AO
17:51:43.902950	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.913101	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.926256	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.936362	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.946470	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.956617	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.966784	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.976900	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.987584	0	0	0	0	0	0	0	0	0	0	0	0
17:51:43.998470	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.008790	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.025127	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.035866	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.046069	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.057151	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.067299	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.077397	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.087506	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.101068	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.111885	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.121985	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.132699	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.142921	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.153018	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.163854	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.178302	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.188433	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.198914	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.209750	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.220477	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.230575	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.241845	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.255123	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.265897	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.276592	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.287326	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.297481	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.307570	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.317662	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.331624	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.341867	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.351957	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.362827	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.373144	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.383977	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.394530	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.408086	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.419668	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.429763	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.439938	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.450642	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.461126	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.472108	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.486574	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.496690	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.507133	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.517234	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.528913	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.539050	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.549153	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.559269	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.569858	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.580679	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.590785	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.601099	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.611280	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.621375	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.632355	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.644713	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.655137	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.665663	0	0	0	0	0	0	0	0	0	0	0	0
17:51:44.676496	0	0	0	0	0	0	0	0	0	0	0	0
