Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;Knee_x;Knee_vel;Knee_omega;Knee_AO;Ankle_x;Ankle_vel;Ankle_omega;Ankle_AO;omega_ao;omega_offline;gait_phase
15:52:56.067100;0.033195853;0.0;0.001;-1.032025805;0;0;0;0;0;0;0;0;0.001;0.0;-3.141592653589793
15:52:56.069282;0.033195853;0.0;0.001;-1.032016081;0;0;0;0;0;0;0;0;3.833529410365003;0.0;-1.6014400088695235
15:52:56.079801;0.033195853;0.0;0.001;-1.032006881;0;0;0;0;0;0;0;0;3.8472542830445287;0.0;-1.5552646349028523
15:52:56.090595;0.033195853;0.0;0.001;-1.031998159;0;0;0;0;0;0;0;0;3.7826299272375583;0.0;-1.5399334510449922
15:52:56.101529;0.033195853;0.0;0.001;-1.031989874;0;0;0;0;0;0;0;0;3.7170207370098542;0.0;-1.5251776389325906
15:52:56.113455;0.033195853;0.0;0.001;-1.031981988;0;0;0;0;0;0;0;0;3.6471184643027574;0.0;-1.509228062947608
15:52:56.123579;0.033195853;0.0;0.001;-1.031974468;0;0;0;0;0;0;0;0;3.589259562848928;0.0;-1.4957422106961447
15:52:56.134459;0.033195853;0.0;0.001;-1.031967283;0;0;0;0;0;0;0;0;3.5285289784557072;0.0;-1.4813149871265938
15:52:56.144626;0.033195853;0.0;0.001;-1.031960402;0;0;0;0;0;0;0;0;3.473028098394779;0.0;-1.467923896095312
15:52:56.157231;-0.006426445;-3.96222976;0.121786455;-0.970953989;0;0;0;0;0;0;0;0;3.409450576891499;0.0;-1.4499781835355423
15:52:56.165616;-0.006426445;-3.96222976;0.242447198;-0.908801503;0;0;0;0;0;0;0;0;3.3774221629335086;0.0;-1.4343344571842866
15:52:56.176458;-0.006426445;-3.96222976;0.361018801;-0.84649586;0;0;0;0;0;0;0;0;3.3575620040949667;0.0;-1.405764527352066
15:52:56.186975;-0.006426445;-3.96222976;0.475752018;-0.784941546;0;0;0;0;0;0;0;0;3.366729639037446;0.0;-1.3667362050739669
15:52:56.197089;-0.003409157;0.301728833;0.572616272;-0.73126274;0;0;0;0;0;0;0;0;3.411275048356251;0.0;-1.3146445375041433
15:52:56.207774;-0.003409157;0.301728833;0.663340907;-0.679715271;0;0;0;0;0;0;0;0;3.504620134485062;0.0;-1.2403681362312386
15:52:56.218362;-0.003409157;0.301728833;0.747421004;-0.630615731;0;0;0;0;0;0;0;0;3.64844930370666;0.0;-1.1449815612781258
15:52:56.229701;-0.003409157;0.301728833;0.824589309;-0.584165711;0;0;0;0;0;0;0;0;3.855163045279456;0.0;-1.0197682300001345
15:52:56.240299;-0.002427241;0.098191572;0.890170527;-0.542795743;0;0;0;0;0;0;0;0;4.08406423633558;0.0;-0.8861413814301904
15:52:56.250712;-0.002427241;0.098191572;0.949167136;-0.504095347;0;0;0;0;0;0;0;0;4.323005021345673;0.0;-0.7467885535157488
15:52:56.261429;-0.002427241;0.098191572;1.001812728;-0.468012478;0;0;0;0;0;0;0;0;4.562477756813675;0.0;-0.6033743012503368
15:52:56.271461;-0.00239149;0.003575131;1.048238874;-0.434544264;0;0;0;0;0;0;0;0;4.767819357745268;0.0;-0.47442518160804914
15:52:56.282058;-0.00239149;0.003575131;1.08899072;-0.403477622;0;0;0;0;0;0;0;0;4.95962768957137;0.0;-0.34614939355256436
15:52:56.292338;-0.00239149;0.003575131;1.124452659;-0.374675192;0;0;0;0;0;0;0;0;5.122861029401952;0.0;-0.22902597079099296
15:52:56.302810;-0.00239149;0.003575131;1.155022459;-0.347989007;0;0;0;0;0;0;0;0;5.272115418600263;0.0;-0.11489535524436523
15:52:56.313448;-0.00239149;0.0;1.181099835;-0.323266129;0;0;0;0;0;0;0;0;5.414578939543445;0.0;-0.001072257828867329
15:52:56.324684;-0.00239149;0.0;1.203078132;-0.300352836;0;0;0;0;0;0;0;0;5.564095324001807;0.0;0.12040181130353567
15:52:56.334751;-0.00239149;0.0;1.221338481;-0.279097635;0;0;0;0;0;0;0;0;5.702577787710856;0.0;0.2324963258015753
15:52:56.347250;-0.001373653;0.101783683;1.23101019;-0.26199779;0;0;0;0;0;0;0;0;5.88353752907982;0.0;0.3772712060913568
