Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;Knee_x;Knee_vel;Knee_omega;Knee_AO;Ankle_x;Ankle_vel;Ankle_omega;Ankle_AO
15:52:56.067100;0.033195853;0;0.001;-1.032025805;0;0;0;0;0;0;0;0
15:52:56.069282;0.033195853;0;0.001;-1.032016081;0;0;0;0;0;0;0;0
15:52:56.079801;0.033195853;0;0.001;-1.032006881;0;0;0;0;0;0;0;0
15:52:56.090595;0.033195853;0;0.001;-1.031998159;0;0;0;0;0;0;0;0
15:52:56.101529;0.033195853;0;0.001;-1.031989874;0;0;0;0;0;0;0;0
15:52:56.113455;0.033195853;0;0.001;-1.031981988;0;0;0;0;0;0;0;0
15:52:56.123579;0.033195853;0;0.001;-1.031974468;0;0;0;0;0;0;0;0
15:52:56.134459;0.033195853;0;0.001;-1.031967283;0;0;0;0;0;0;0;0
15:52:56.144626;0.033195853;0;0.001;-1.031960402;0;0;0;0;0;0;0;0
15:52:56.157231;-0.006426445;-3.96222976;0.121786455;-0.970953989;0;0;0;0;0;0;0;0
15:52:56.165616;-0.006426445;-3.96222976;0.242447198;-0.908801503;0;0;0;0;0;0;0;0
15:52:56.176458;-0.006426445;-3.96222976;0.361018801;-0.84649586;0;0;0;0;0;0;0;0
15:52:56.186975;-0.006426445;-3.96222976;0.475752018;-0.784941546;0;0;0;0;0;0;0;0
15:52:56.197089;-0.003409157;0.301728833;0.572616272;-0.73126274;0;0;0;0;0;0;0;0
15:52:56.207774;-0.003409157;0.301728833;0.663340907;-0.679715271;0;0;0;0;0;0;0;0
15:52:56.218362;-0.003409157;0.301728833;0.747421004;-0.630615731;0;0;0;0;0;0;0;0
15:52:56.229701;-0.003409157;0.301728833;0.824589309;-0.584165711;0;0;0;0;0;0;0;0
15:52:56.240299;-0.002427241;0.098191572;0.890170527;-0.542795743;0;0;0;0;0;0;0;0
15:52:56.250712;-0.002427241;0.098191572;0.949167136;-0.504095347;0;0;0;0;0;0;0;0
15:52:56.261429;-0.002427241;0.098191572;1.001812728;-0.468012478;0;0;0;0;0;0;0;0
15:52:56.271461;-0.00239149;0.003575131;1.048238874;-0.434544264;0;0;0;0;0;0;0;0
15:52:56.282058;-0.00239149;0.003575131;1.08899072;-0.403477622;0;0;0;0;0;0;0;0
15:52:56.292338;-0.00239149;0.003575131;1.124452659;-0.374675192;0;0;0;0;0;0;0;0
15:52:56.302810;-0.00239149;0.003575131;1.155022459;-0.347989007;0;0;0;0;0;0;0;0
15:52:56.313448;-0.00239149;0;1.181099835;-0.323266129;0;0;0;0;0;0;0;0
15:52:56.324684;-0.00239149;0;1.203078132;-0.300352836;0;0;0;0;0;0;0;0
15:52:56.334751;-0.00239149;0;1.221338481;-0.279097635;0;0;0;0;0;0;0;0
15:52:56.347250;-0.001373653;0.101783683;1.23101019;-0.26199779;0;0;0;0;0;0;0;0
15:52:56.358100;-0.001373653;0.101783683;1.238137025;-0.24608664;0;0;0;0;0;0;0;0
15:52:56.368913;-0.001373653;0.101783683;1.243010476;-0.231242415;0;0;0;0;0;0;0;0
15:52:56.380757;-0.001373653;0.101783683;1.245902107;-0.217350493;0;0;0;0;0;0;0;0
15:52:56.390738;-0.000355648;0.101800457;1.241759921;-0.20698234;0;0;0;0;0;0;0;0
15:52:56.401768;-0.000355648;0.101800457;1.236588056;-0.19717575;0;0;0;0;0;0;0;0
15:52:56.411680;-0.000355648;0.101800457;1.230563644;-0.187851557;0;0;0;0;0;0;0;0
15:52:56.421858;-0.000355648;0.101800457;1.223848294;-0.17893666;0;0;0;0;0;0;0;0
15:52:56.432478;-0.000355648;0;1.216589011;-0.170363719;0;0;0;0;0;0;0;0
15:52:56.442599;-0.000355648;0;1.208919089;-0.16207085;0;0;0;0;0;0;0;0
15:52:56.452641;-0.000355648;0;1.200958991;-0.154001314;0;0;0;0;0;0;0;0
15:52:56.463044;-0.000355648;0;1.192817201;-0.146103218;0;0;0;0;0;0;0;0
15:52:56.473917;0.000662522;0.101817024;1.179181258;-0.141061574;0;0;0;0;0;0;0;0
15:52:56.483971;0.000662522;0.101817024;1.166019057;-0.135917085;0;0;0;0;0;0;0;0
15:52:56.494405;0.000662522;0.101817024;1.153368984;-0.130645622;0;0;0;0;0;0;0;0
15:52:56.505338;0.000662522;0;1.141262724;-0.125226059;0;0;0;0;0;0;0;0
15:52:56.516040;0.000662522;0;1.129725912;-0.119640005;0;0;0;0;0;0;0;0
15:52:56.526788;0.000662522;0;1.118778755;-0.113871559;0;0;0;0;0;0;0;0
15:52:56.536937;0.000662522;0;1.108436606;-0.107907066;0;0;0;0;0;0;0;0
15:52:56.547395;0.000662522;0;1.098710509;-0.101734896;0;0;0;0;0;0;0;0
15:52:56.557558;0.000662522;0;1.089607693;-0.095345234;0;0;0;0;0;0;0;0
15:52:56.567565;0.000662522;0;1.081132041;-0.088729885;0;0;0;0;0;0;0;0
15:52:56.578373;0.000662522;0;1.073284512;-0.08188209;0;0;0;0;0;0;0;0
15:52:56.588419;0.000662522;0;1.066063531;-0.074796361;0;0;0;0;0;0;0;0
15:52:56.598942;0.000662522;0;1.059465342;-0.067468328;0;0;0;0;0;0;0;0
15:52:56.609565;0.000662522;0;1.053484331;-0.059894597;0;0;0;0;0;0;0;0
15:52:56.619832;0.001644438;0.098191572;1.042772786;-0.054769997;0;0;0;0;0;0;0;0
15:52:56.630703;0.001644438;0.098191572;1.033130733;-0.049212375;0;0;0;0;0;0;0;0
15:52:56.642023;0.001644438;0.098191572;1.024506867;-0.043236948;0;0;0;0;0;0;0;0
15:52:56.651928;0.001644438;0.098191572;1.016851888;-0.036858431;0;0;0;0;0;0;0;0
15:52:56.662271;0.001644438;0;1.010118569;-0.030090987;0;0;0;0;0;0;0;0
15:52:56.672966;0.001644438;0;1.004261806;-0.022948179;0;0;0;0;0;0;0;0
15:52:56.683818;0.001644438;0;0.999238619;-0.015442948;0;0;0;0;0;0;0;0
15:52:56.695796;0.002911006;0.126656818;0.988075011;-0.01108936;0;0;0;0;0;0;0;0
15:52:56.706250;0.002911006;0.126656818;0.978274549;-0.00615894;0;0;0;0;0;0;0;0
15:52:56.717059;0.002911006;0.126656818;0.969744741;-0.000684769;0;0;0;0;0;0;0;0
15:52:56.727554;0.002911006;0.126656818;0.962399236;0.005302246;0;0;0;0;0;0;0;0
15:52:56.738210;0.003892686;0.098168021;0.950767329;0.009050824;0;0;0;0;0;0;0;0
15:52:56.748840;0.003892686;0.098168021;0.940637739;0.013441851;0;0;0;0;0;0;0;0
15:52:56.758859;0.003892686;0.098168021;0.931897235;0.018433161;0;0;0;0;0;0;0;0
15:52:56.770106;0.003892686;0.098168021;0.924440931;0.023985671;0;0;0;0;0;0;0;0
15:52:56.780091;0.003892686;0;0.918171827;0.030063232;0;0;0;0;0;0;0;0
15:52:56.790615;0.003892686;0;0.913000334;0.036632467;0;0;0;0;0;0;0;0
15:52:56.800845;0.003892686;0;0.908843789;0.043662602;0;0;0;0;0;0;0;0
15:52:56.811339;0.004873804;0.098111812;0.900225411;0.04839759;0;0;0;0;0;0;0;0
15:52:56.822113;0.004873804;0.098111812;0.892952594;0.053725997;0;0;0;0;0;0;0;0
15:52:56.833201;0.004873804;0.098111812;0.886915713;0.059605911;0;0;0;0;0;0;0;0
15:52:56.843162;0.004873804;0.098111812;0.882014031;0.065998813;0;0;0;0;0;0;0;0
15:52:56.854204;0.003892686;-0.098111812;0.883555115;0.07559679;0;0;0;0;0;0;0;0
15:52:56.864750;0.003892686;-0.098111812;0.885572877;0.085450927;0;0;0;0;0;0;0;0
15:52:56.875480;0.003892686;-0.098111812;0.888035553;0.095549949;0;0;0;0;0;0;0;0
15:52:56.885870;0.003892686;-0.098111812;0.890913726;0.105883447;0;0;0;0;0;0;0;0
15:52:56.895762;0.003892686;0;0.894180111;0.116441796;0;0;0;0;0;0;0;0
15:52:56.906135;0.003892686;0;0.897809351;0.127216071;0;0;0;0;0;0;0;0
15:52:56.916356;0.003892686;0;0.901777836;0.138197976;0;0;0;0;0;0;0;0
15:52:56.926760;0.003892686;0;0.906063523;0.149379771;0;0;0;0;0;0;0;0
15:52:56.936892;0.003892686;0;0.910645783;0.160754208;0;0;0;0;0;0;0;0
15:52:56.947588;0.003892686;0;0.915505247;0.172314472;0;0;0;0;0;0;0;0
15:52:56.958105;0.003892686;0;0.920623676;0.184054123;0;0;0;0;0;0;0;0
15:52:56.968642;0.003892686;0;0.92598383;0.195967043;0;0;0;0;0;0;0;0
15:52:56.979433;0.003892686;0;0.931569359;0.208047392;0;0;0;0;0;0;0;0
15:52:56.990332;0.003892686;0;0.93736469;0.22028956;0;0;0;0;0;0;0;0
15:52:57.003228;0.003892686;0;0.943354936;0.232688125;0;0;0;0;0;0;0;0
15:52:57.013684;0.006872693;0.298000658;0.933576619;0.237182231;0;0;0;0;0;0;0;0
15:52:57.023915;0.006872693;0.298000658;0.925392169;0.242383584;0;0;0;0;0;0;0;0
15:52:57.034027;0.006872693;0.298000658;0.918654277;0.248233724;0;0;0;0;0;0;0;0
15:52:57.044681;0.006872693;0.298000658;0.913227876;0.254678894;0;0;0;0;0;0;0;0
15:52:57.055360;0.008141974;0.126928144;0.902220842;0.258251158;0;0;0;0;0;0;0;0
15:52:57.066106;0.008141974;0.126928144;0.892885159;0.262557522;0;0;0;0;0;0;0;0
15:52:57.076726;0.008141974;0.126928144;0.88506296;0.267534964;0;0;0;0;0;0;0;0
15:52:57.088842;0.009122274;0.098029963;0.873395754;0.27049217;0;0;0;0;0;0;0;0
15:52:57.100113;0.009122274;0.098029963;0.863424438;0.274189269;0;0;0;0;0;0;0;0
15:52:57.110071;0.009122274;0.098029963;0.854986742;0.278561263;0;0;0;0;0;0;0;0
15:52:57.120210;0.009122274;0.098029963;0.84793413;0.283548466;0;0;0;0;0;0;0;0
15:52:57.131063;0.010393617;0.127134347;0.83539577;0.285694427;0;0;0;0;0;0;0;0
15:52:57.141528;0.010393617;0.127134347;0.824579001;0.288584554;0;0;0;0;0;0;0;0
15:52:57.152054;0.010393617;0.127134347;0.815317122;0.292151865;0;0;0;0;0;0;0;0
15:52:57.163724;0.011373651;0.098003397;0.802276735;0.293718131;0;0;0;0;0;0;0;0
15:52:57.174406;0.011373651;0.098003397;0.790958715;0.296023935;0;0;0;0;0;0;0;0
15:52:57.185186;0.011373651;0.098003397;0.781195127;0.299001681;0;0;0;0;0;0;0;0
15:52:57.198014;0.011373651;0.098003397;0.772832456;0.302589376;0;0;0;0;0;0;0;0
15:52:57.208242;0.011373651;0;0.765730554;0.306730245;0;0;0;0;0;0;0;0
15:52:57.218569;0.011373651;0;0.759761614;0.311372342;0;0;0;0;0;0;0;0
15:52:57.229419;0.011373651;0;0.754809184;0.316468179;0;0;0;0;0;0;0;0
15:52:57.240027;0.011373651;0;0.75076722;0.321974363;0;0;0;0;0;0;0;0
15:52:57.251065;0.011373651;0;0.747539213;0.327851251;0;0;0;0;0;0;0;0
15:52:57.261753;0.011373651;0;0.745037358;0.334062635;0;0;0;0;0;0;0;0
15:52:57.271934;0.011373651;0;0.743181789;0.340575439;0;0;0;0;0;0;0;0
15:52:57.282141;0.011373651;0;0.741899876;0.347359441;0;0;0;0;0;0;0;0
15:52:57.292347;0.012353111;0.097946028;0.736049876;0.351823383;0;0;0;0;0;0;0;0
15:52:57.302725;0.012353111;0.097946028;0.731116576;0.356691844;0;0;0;0;0;0;0;0
15:52:57.312867;0.012353111;0.097946028;0.727001889;0.361924449;0;0;0;0;0;0;0;0
15:52:57.322917;0.012353111;0.097946028;0.723616619;0.367484334;0;0;0;0;0;0;0;0
15:52:57.333181;0.013371607;0.101849536;0.715641541;0.370692154;0;0;0;0;0;0;0;0
15:52:57.343446;0.013371607;0.101849536;0.708725545;0.374355156;0;0;0;0;0;0;0;0
15:52:57.354291;0.013371607;0.101849536;0.702757482;0.378427793;0;0;0;0;0;0;0;0
15:52:57.365705;0.013371607;0;0.69763624;0.382868475;0;0;0;0;0;0;0;0
15:52:57.376365;0.013371607;0;0.693269913;0.387639249;0;0;0;0;0;0;0;0
15:52:57.387157;0.013371607;0;0.689575022;0.392705502;0;0;0;0;0;0;0;0
15:52:57.397822;0.013371607;0;0.68647579;0.398035673;0;0;0;0;0;0;0;0
15:52:57.408300;0.014350492;0.097888522;0.678935687;0.401091859;0;0;0;0;0;0;0;0
15:52:57.418360;0.014350492;0.097888522;0.672326041;0.404542613;0;0;0;0;0;0;0;0
15:52:57.428527;0.014350492;0.097888522;0.666547586;0.408347099;0;0;0;0;0;0;0;0
15:52:57.440426;0.014350492;0.097888522;0.661510145;0.412468086;0;0;0;0;0;0;0;0
15:52:57.450655;0.015369147;0.101865481;0.651995881;0.414277546;0;0;0;0;0;0;0;0
15:52:57.461363;0.015369147;0.101865481;0.643548464;0.416530718;0;0;0;0;0;0;0;0
15:52:57.471930;0.015369147;0.101865481;0.636056903;0.419182211;0;0;0;0;0;0;0;0
15:52:57.483540;0.014390262;-0.097888522;0.634334941;0.424672926;0;0;0;0;0;0;0;0
15:52:57.493840;0.014390262;-0.097888522;0.632907937;0.430295409;0;0;0;0;0;0;0;0
15:52:57.503761;0.014390262;-0.097888522;0.631736328;0.436032629;0;0;0;0;0;0;0;0
15:52:57.514298;0.014390262;-0.097888522;0.630784366;0.441869082;0;0;0;0;0;0;0;0
15:52:57.524543;0.014390262;0;0.630019772;0.447790662;0;0;0;0;0;0;0;0
15:52:57.534507;0.014390262;0;0.62941341;0.453784527;0;0;0;0;0;0;0;0
15:52:57.545062;0.014390262;0;0.628939;0.459838984;0;0;0;0;0;0;0;0
15:52:57.556264;0.014390262;0;0.628572854;0.465943389;0;0;0;0;0;0;0;0
15:52:57.567102;0.013410801;-0.097946028;0.633092877;0.474512082;0;0;0;0;0;0;0;0
15:52:57.577912;0.013410801;-0.097946028;0.637205682;0.482920304;0;0;0;0;0;0;0;0
15:52:57.588919;0.013410801;-0.097946028;0.6409404;0.491178697;0;0;0;0;0;0;0;0
15:52:57.599159;0.012139154;-0.127164711;0.650466118;0.502399419;0;0;0;0;0;0;0;0
15:52:57.609576;0.012139154;-0.127164711;0.659040565;0.513234932;0;0;0;0;0;0;0;0
15:52:57.620394;0.012139154;-0.127164711;0.666748079;0.523718322;0;0;0;0;0;0;0;0
15:52:57.630562;0.012139154;-0.127164711;0.673664388;0.533879168;0;0;0;0;0;0;0;0
15:52:57.640699;0.012139154;0;0.679857549;0.543743935;0;0;0;0;0;0;0;0
15:52:57.651414;0.012139154;0;0.685388786;0.553336313;0;0;0;0;0;0;0;0
15:52:57.662036;0.012139154;0;0.690313224;0.562677526;0;0;0;0;0;0;0;0
15:52:57.672628;0.012139154;0;0.694680553;0.571786605;0;0;0;0;0;0;0;0
15:52:57.682664;0.012139154;0;0.698535613;0.580680625;0;0;0;0;0;0;0;0
15:52:57.694476;0.012139154;0;0.701918911;0.589374923;0;0;0;0;0;0;0;0
15:52:57.704953;0.012139154;0;0.704867081;0.597883287;0;0;0;0;0;0;0;0
15:52:57.715158;0.012139154;0;0.7074133;0.60621812;0;0;0;0;0;0;0;0
15:52:57.725294;0.012139154;0;0.709587651;0.614390599;0;0;0;0;0;0;0;0
15:52:57.735905;0.012139154;0;0.711417446;0.622410798;0;0;0;0;0;0;0;0
15:52:57.746722;0.012139154;0;0.712927517;0.630287815;0;0;0;0;0;0;0;0
15:52:57.757037;0.012139154;0;0.714140476;0.638029873;0;0;0;0;0;0;0;0
15:52:57.766956;0.012139154;0;0.715076939;0.645644414;0;0;0;0;0;0;0;0
15:52:57.778742;0.012139154;0;0.715755737;0.653138184;0;0;0;0;0;0;0;0
15:52:57.789343;0.012139154;0;0.716194094;0.660517305;0;0;0;0;0;0;0;0
15:52:57.799494;0.011159424;-0.097973033;0.72064722;0.669928639;0;0;0;0;0;0;0;0
15:52:57.809516;0.011159424;-0.097973033;0.724453529;0.679057812;0;0;0;0;0;0;0;0
15:52:57.819560;0.011159424;-0.097973033;0.727671081;0.687927678;0;0;0;0;0;0;0;0
15:52:57.830936;0.011159424;-0.097973033;0.730352243;0.696558803;0;0;0;0;0;0;0;0
15:52:57.841146;0.011159424;0;0.732544298;0.704969702;0;0;0;0;0;0;0;0
15:52:57.851900;0.011159424;0;0.734289976;0.713177068;0;0;0;0;0;0;0;0
15:52:57.862710;0.011159424;0;0.735627928;0.721195958;0;0;0;0;0;0;0;0
15:52:57.873534;0.011159424;0;0.736593153;0.729039973;0;0;0;0;0;0;0;0
15:52:57.884300;0.011159424;0;0.73721737;0.736721406;0;0;0;0;0;0;0;0
15:52:57.895203;0.011159424;0;0.737529355;0.744251381;0;0;0;0;0;0;0;0
15:52:57.906165;0.011159424;0;0.737555236;0.751639972;0;0;0;0;0;0;0;0
15:52:57.916270;0.011159424;0;0.737318763;0.758896315;0;0;0;0;0;0;0;0
15:52:57.926632;0.011159424;0;0.736841544;0.766028699;0;0;0;0;0;0;0;0
15:52:57.936825;0.011159424;0;0.736143256;0.773044656;0;0;0;0;0;0;0;0
15:52:57.947791;0.011159424;0;0.735241838;0.779951035;0;0;0;0;0;0;0;0
15:52:57.958060;0.011159424;0;0.734153658;0.786754071;0;0;0;0;0;0;0;0
15:52:57.968766;0.011159424;0;0.732893669;0.79345945;0;0;0;0;0;0;0;0
