Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;Knee_x;Knee_vel;Knee_omega;Knee_AO;Ankle_x;Ankle_vel;Ankle_omega;Ankle_AO
17:05:45.152676;0.13113832597926653;0.0;0.001;-1.1623957851897124;0;0;0;0;0;0;0;0
17:05:45.154642;0.13113832597926653;0.0;0.001;-1.162530081949992;0;0;0;0;0;0;0;0
17:05:45.165696;0.13113832597926653;0.0;0.001;-1.1626547482277623;0;0;0;0;0;0;0;0
17:05:45.176406;0.13113832597926653;0.0;0.001;-1.1627704528936214;0;0;0;0;0;0;0;0
17:05:45.186505;0.13113832597926653;0.0;0.001;-1.1628778177920616;0;0;0;0;0;0;0;0
17:05:45.197502;0.13212321117442127;0.09848851951547444;0.001;-1.1630473864276176;0;0;0;0;0;0;0;0
17:05:45.207684;0.13212321117442127;0.09848851951547444;0.001;-1.1632048749665067;0;0;0;0;0;0;0;0
17:05:45.217856;0.13212321117442127;0.09848851951547444;0.001;-1.163351124783869;0;0;0;0;0;0;0;0
17:05:45.228660;0.13212321117442127;0.09848851951547444;0.001;-1.1634869177559288;0;0;0;0;0;0;0;0
17:05:45.239387;0.4924417394632737;36.03185282888524;0.001;-1.1881381253241692;0;0;0;0;0;0;0;0
17:05:45.249556;0.4924417394632737;36.03185282888524;0.001;-1.2093531068009291;0;0;0;0;0;0;0;0
17:05:45.259602;0.4924417394632737;36.03185282888524;0.001;-1.2277415150557793;0;0;0;0;0;0;0;0
17:05:45.269988;0.4924417394632737;36.03185282888524;0.001;-1.2437834454439347;0;0;0;0;0;0;0;0
17:05:45.279938;0.5321714159940759;3.9729676530802225;0.001;-1.259829368774401;0;0;0;0;0;0;0;0
17:05:45.290560;0.5321714159940759;3.9729676530802225;0.001;-1.273869477440396;0;0;0;0;0;0;0;0
17:05:45.301479;0.5321714159940759;3.9729676530802225;0.001;-1.286223875052567;0;0;0;0;0;0;0;0
17:05:45.311490;0.5321714159940759;3.9729676530802225;0.001;-1.2971506278376204;0;0;0;0;0;0;0;0
17:05:45.321601;0.5579193240409098;2.574790804683391;0.001;-1.307869836992861;0;0;0;0;0;0;0;0
17:05:45.331622;0.5579193240409098;2.574790804683391;0.001;-1.3173862456923437;0;0;0;0;0;0;0;0
17:05:45.342304;0.5579193240409098;2.574790804683391;0.001;-1.3258713275951344;0;0;0;0;0;0;0;0
17:05:45.352976;0.5546089138318956;-0.3310410209014236;0.001;-1.3333543277698503;0;0;0;0;0;0;0;0
17:05:45.363699;0.5546089138318956;-0.3310410209014236;0.001;-1.3400809456863065;0;0;0;0;0;0;0;0
17:05:45.374286;0.5546089138318956;-0.3310410209014236;0.001;-1.346147155961173;0;0;0;0;0;0;0;0
17:05:45.385137;0.5546089138318956;-0.3310410209014236;0.001;-1.3516339703432116;0;0;0;0;0;0;0;0
17:05:45.395905;0.5283527017487054;-2.625621208319018;0.001;-1.3558374569251121;0;0;0;0;0;0;0;0
17:05:45.406418;0.5283527017487054;-2.625621208319018;0.001;-1.3596778557984202;0;0;0;0;0;0;0;0
17:05:45.416548;0.5283527017487054;-2.625621208319018;0.001;-1.3631932010679542;0;0;0;0;0;0;0;0
17:05:45.427677;0.5283527017487054;-2.625621208319018;0.001;-1.3664166534591935;0;0;0;0;0;0;0;0
