Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;Knee_x;Knee_vel;Knee_omega;Knee_AO;Ankle_x;Ankle_vel;Ankle_omega;Ankle_AO
16:42:38.235533;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.245681;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.256062;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.266201;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.276593;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.287011;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.297678;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.307944;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.318060;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.328762;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.339257;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.351325;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.361518;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.371634;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.382521;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.396475;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.406986;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.417409;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.428122;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.438288;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.448805;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.458922;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.474286;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.484383;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.494516;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.507395;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.517528;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.528284;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.538431;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.553078;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.563236;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.573342;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.584664;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.595622;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.605760;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.616420;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.628132;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.638990;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.649723;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.660409;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.674060;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.684679;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.695592;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.706234;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.716375;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.726855;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.737064;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.747377;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.758240;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.768353;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.778866;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.791159;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.801377;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.811498;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.822221;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.832476;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.842799;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.852883;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.867200;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.877382;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.888087;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.898877;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.910982;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.921140;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.931252;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.941350;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.952033;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.962145;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.972235;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.982986;0;0;0;0;0;0;0;0;0;0;0;0
16:42:38.993111;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.003212;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.013509;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.024032;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.034277;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.044403;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.055107;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.065297;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.075449;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.085552;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.096397;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.107249;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.118230;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.129749;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.140837;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.151656;0;0;0;0;0;0;0;0;0;0;0;0
16:42:39.161744;0;0;0;0;0;0;0;0;0;0;0;0
