Time;Hip_x;Hip_vel;Omega;GP_AO;target_cos;target_sin;target_omega
17:42:52.215694;0.025379583;0.002682668;0.019418065;-0.732004302;1;0;0
17:42:52.225642;0.025379583;0.002146134;0.019199975;-0.732027552;1;0;0
17:42:52.236703;0.025379583;0.001716908;0.018976488;-0.732046727;1;0;0
17:42:52.246352;0.025379583;0.001373526;0.018772389;-0.732060028;1;0;0
17:42:52.257293;0.025379583;0.001098821;0.018560765;-0.732069479;1;0;0
17:42:52.267476;0.025379583;0.000879057;0.018369134;-0.732074155;1;0;0
17:42:52.277919;0.025379583;0.000703245;0.018178525;-0.732075088;1;0;0
17:42:52.289692;0.025379583;0.000562596;0.017972694;-0.732071877;1;0;0
17:42:52.300097;0.025379583;0.000450077;0.017798775;-0.732065715;1;0;0
17:42:52.310517;0.025379583;0.000360062;0.017614136;-0.73205569;1;0;0
17:42:52.321320;0.025379583;0.000288049;0.017449519;-0.732043714;1;0;0
17:42:52.331284;0.025379583;0.000230439;0.017277145;-0.732028101;1;0;0
17:42:52.341570;0.025379583;0.000184352;0.017120815;-0.732011224;1;0;0
17:42:52.352365;0.025379583;0.000147481;0.016955644;-0.731990594;1;0;0
17:42:52.362849;0.025379583;0.000117985;0.01680584;-0.731969413;1;0;0
17:42:52.372990;0.025379583;9.44E-05;0.016659939;-0.731946542;1;0;0
17:42:52.383383;0.025379583;7.55E-05;0.016511665;-0.731921056;1;0;0
17:42:52.393136;0.025379583;6.04E-05;0.016371375;-0.731894886;1;0;0
17:42:52.404176;0.025379583;4.83E-05;0.016228261;-0.73186616;1;0;0
17:42:52.413605;0.025379583;3.87E-05;0.016094238;-0.731837431;1;0;0
17:42:52.425412;0.025379583;3.09E-05;0.015953752;-0.731805454;1;0;0
17:42:52.435353;0.025379583;2.47E-05;0.015815166;-0.731772079;1;0;0
17:42:52.445716;0.025379583;1.98E-05;0.015688599;-0.731740048;1;0;0
17:42:52.455793;0.02435669;-0.020258376;0.015743205;-0.73152685;1;0;0
17:42:52.468053;0.02435669;-0.0162067;0.015794437;-0.731283532;1;0;0
17:42:52.478391;0.02435669;-0.01296536;0.015825713;-0.731092203;1;0;0
17:42:52.488746;0.023353301;-0.029194178;0.016034006;-0.730714045;1;0;0
17:42:52.498450;0.023353301;-0.023355343;0.016209793;-0.730374766;1;0;0
