Time;Hip_x;Hip_vel;Omega;GP_AO;target_cos;target_sin;target_omega
17:58:36.476752;0.075067912;0.01052308;0.021452838;2.435710639;1;0;0
17:58:36.486992;0.074042694;-0.010878924;0.021336548;2.435821688;1;0;0
17:58:36.496953;0.074042694;-0.008703139;0.021216547;2.435916002;1;0;0
17:58:36.506698;0.074042694;-0.006962511;0.021087453;2.436000465;1;0;0
17:58:36.517638;0.074042694;-0.005570009;0.020950543;2.436075265;1;0;0
17:58:36.528685;0.074042694;-0.004456007;0.020791443;2.436147237;1;0;0
17:58:36.539762;0.074042694;-0.003564806;0.02061812;2.436211134;1;0;0
17:58:36.550964;0.074042694;-0.002851845;0.020445015;2.436262789;1;0;0
17:58:36.560972;0.074042694;-0.002281476;0.020270404;2.436304768;1;0;0
17:58:36.571431;0.074042694;-0.00182518;0.020097806;2.436337857;1;0;0
17:58:36.581127;0.074042694;-0.001460144;0.019922588;2.436364138;1;0;0
17:58:36.592141;0.074042694;-0.001168116;0.01972966;2.436385717;1;0;0
17:58:36.602308;0.074042694;-0.000934492;0.019545723;2.436400027;1;0;0
17:58:36.613130;0.074042694;-0.000747594;0.019346128;2.43640949;1;0;0
17:58:36.623034;0.0730176;-0.020549669;0.01893108;2.436191096;1;0;0
17:58:36.634220;0.0730176;-0.016439735;0.018509256;2.435970697;1;0;0
17:58:36.644438;0.0730176;-0.013151788;0.018111023;2.435764094;1;0;0
17:58:36.655505;0.0730176;-0.010521431;0.017714232;2.435559689;1;0;0
17:58:36.665825;0.0730176;-0.008417144;0.017342387;2.435369471;1;0;0
17:58:36.676570;0.0730176;-0.006733716;0.016989603;2.435190221;1;0;0
17:58:36.687803;0.0730176;-0.005386972;0.016628069;2.435007774;1;0;0
17:58:36.696699;0.071992634;-0.023820544;0.016055897;2.434607278;1;0;0
17:58:36.707276;0.071992634;-0.019056435;0.015510592;2.434227156;1;0;0
17:58:36.718807;0.071992634;-0.015245148;0.014980389;2.433859124;1;0;0
17:58:36.727948;0.071992634;-0.012196119;0.01449848;2.433526034;1;0;0
17:58:36.739260;0.071992634;-0.009756895;0.013982209;2.43317079;1;0;0
17:58:36.749661;0.070967798;-0.02807275;0.013323407;2.432650034;1;0;0
17:58:36.759663;0.070967798;-0.0224582;0.012695102;2.432153636;1;0;0
17:58:36.771047;0.070967798;-0.01796656;0.012055851;2.431648864;1;0;0
17:58:36.781088;0.070967798;-0.014373248;0.011461813;2.431180058;1;0;0
17:58:36.791847;0.070967798;-0.011498599;0.01090092;2.430737663;1;0;0
17:58:36.802506;0.069943094;-0.028293663;0.010132641;2.430082219;1;0;0
