Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega;Unnamed: 9
17:16:38.103514;0.024916531;0.01277346;0.005072888;1.907615642;0.005310396;1;0;0;
17:16:38.114311;0.024916531;0.010218768;0.005090746;1.907684891;0.008962842;1;0;0;
17:16:38.125173;0.025930869;0.026980353;0.005136011;1.907785322;0.015098881;1;0;0;
17:16:38.135715;0.025930869;0.021584282;0.005177345;1.907882284;0.018618725;1;0;0;
17:16:38.145735;0.025930869;0.017267426;0.005212639;1.907970018;0.019670546;1;0;0;
17:16:38.156015;0.025930869;0.013813941;0.005244927;1.908055262;0.018523652;1;0;0;
17:16:38.165422;0.025930869;0.011051153;0.005274093;1.908137423;0.016193829;1;0;0;
17:16:38.177217;0.025930869;0.008840922;0.005302077;1.908222173;0.014352581;1;0;0;
17:16:38.188153;0.026944979;0.026518254;0.005354122;1.908329795;0.010808609;1;0;0;
17:16:38.197690;0.026944979;0.021214603;0.005403069;1.908436164;0.010134901;1;0;0;
17:16:38.210036;0.026944979;0.016971683;0.005449754;1.90854335;0.009871846;1;0;0;
17:16:38.218902;0.02705857;0.015754166;0.005492676;1.908643375;0.008574677;1;0;0;
17:16:38.230326;0.02705857;0.012603333;0.005532675;1.90874217;0.007705509;1;0;0;
17:16:38.240360;0.02705857;0.010082667;0.005567311;1.908833171;0.009838424;1;0;0;
17:16:38.250936;0.026944979;0.005917819;0.00559682;1.908921713;0.006686668;1;0;0;
17:16:38.261074;0.026944979;0.004734255;0.005622006;1.909003381;0.00319136;1;0;0;
17:16:38.270450;0.026944979;0.003787404;0.00564483;1.909083834;-0.000294505;1;0;0;
17:16:38.281618;0.026944979;0.003029923;0.005665807;1.909165129;-0.003008044;1;0;0;
17:16:38.292408;0.02705857;0.004580732;0.005686988;1.909246104;-0.003174051;1;0;0;
17:16:38.301797;0.02705857;0.003664586;0.005704722;1.909321231;-0.004937774;1;0;0;
17:16:38.312873;0.02705857;0.002931669;0.005721176;1.90939959;-0.004864343;1;0;0;
17:16:38.323255;0.02705857;0.002345335;0.005734226;1.909470655;-0.003587888;1;0;0;
17:16:38.334619;0.02705857;0.001876268;0.00574509;1.909539374;-0.002761356;1;0;0;
17:16:38.344565;0.02705857;0.001501014;0.005754691;1.909612523;-0.003727287;1;0;0;
17:16:38.354741;0.02705857;0.001200811;0.005761785;1.909681027;-0.0034902;1;0;0;
17:16:38.364960;0.02705857;0.000960649;0.005766629;1.909743931;-0.005181393;1;0;0;
17:16:38.375131;0.02705857;0.000768519;0.005769843;1.909807355;-0.005969001;1;0;0;
17:16:38.386840;0.028072213;0.020120884;0.005799085;1.909896718;-0.003812792;1;0;0;
17:16:38.395594;0.028072213;0.016096707;0.005824517;1.909980821;-0.001168935;1;0;0;
17:16:38.406345;0.028072213;0.012877366;0.00584856;1.910067662;0.002771596;1;0;0;
17:16:38.416492;0.028072213;0.010301892;0.005868339;1.910146428;0.004314276;1;0;0;
17:16:38.426908;0.028072213;0.008241514;0.005885719;1.910223354;0.006540796;1;0;0;
17:16:38.438922;0.028072213;0.006593211;0.005902474;1.910307616;0.00628425;1;0;0;
17:16:38.448085;0.029087108;0.025385244;0.005941894;1.910406812;0.00718658;1;0;0;
17:16:38.459208;0.029087108;0.020308195;0.005979645;1.910508014;0.007238356;1;0;0;
17:16:38.470098;0.029087108;0.016246556;0.00601366;1.910605846;0.00592342;1;0;0;
17:16:38.480995;0.029087108;0.012997245;0.006044605;1.910701996;0.004692277;1;0;0;
17:16:38.491404;0.029087108;0.010397796;0.006070958;1.910791012;0.004643823;1;0;0;
17:16:38.501997;0.029087108;0.008318237;0.006095122;1.910880474;0.00562602;1;0;0;
17:16:38.512105;0.029087108;0.006654589;0.006115095;1.910962271;0.005716903;1;0;0;
17:16:38.523014;0.029087108;0.005323671;0.006133669;1.911047533;0.004199212;1;0;0;
17:16:38.533086;0.029087108;0.004258937;0.006149156;1.911128795;0.000509401;1;0;0;
17:16:38.543060;0.029087108;0.00340715;0.00616136;1.911203164;-0.003716649;1;0;0;
17:16:38.553983;0.029321926;0.007089217;0.00617862;1.911286833;-0.00794524;1;0;0;
17:16:38.565403;0.028193439;-0.015255508;0.006160969;1.911335723;-0.009607493;1;0;0;
17:16:38.575309;0.028193439;-0.012204406;0.006143631;1.911380669;-0.010567595;1;0;0;
17:16:38.585433;0.028193439;-0.009763525;0.006124895;1.911426386;-0.011315895;1;0;0;
17:16:38.596264;0.028193439;-0.00781082;0.006105608;1.911470833;-0.010673404;1;0;0;
17:16:38.606875;0.029206586;0.01274734;0.006113797;1.911544196;-0.010285285;1;0;0;
17:16:38.617560;0.029206586;0.010197872;0.006119615;1.911613015;-0.010659635;1;0;0;
17:16:38.627600;0.028193439;-0.011253142;0.006095502;1.911652656;-0.00904232;1;0;0;
17:16:38.637861;0.028193439;-0.009002513;0.006070437;1.911692498;-0.008331215;1;0;0;
17:16:38.649393;0.026164992;-0.04478504;0.005986712;1.911673847;-0.008478466;1;0;0;
17:16:38.659845;0.026164992;-0.035828032;0.005910654;1.9116581;-0.0108783;1;0;0;
17:16:38.669796;0.026164992;-0.028662425;0.005834652;1.911643557;-0.016368365;1;0;0;
17:16:38.679908;0.025150428;-0.04295633;0.005736138;1.911603659;-0.02314624;1;0;0;
17:16:38.691182;0.025150428;-0.034365064;0.00563426;1.911563694;-0.030307529;1;0;0;
17:16:38.700969;0.025150428;-0.027492052;0.0055414;1.911528485;-0.034322012;1;0;0;
17:16:38.711144;0.026163575;-0.002655991;0.005478666;1.911523485;-0.030044189;1;0;0;
17:16:38.721869;0.026163575;-0.002124793;0.005418763;1.911519715;-0.02215822;1;0;0;
17:16:38.732272;0.025148787;-0.020747998;0.005329975;1.911488187;-0.012999187;1;0;0;
17:16:38.742542;0.025148787;-0.016598398;0.005245781;1.911459456;-0.004235548;1;0;0;
17:16:38.754227;0.025148787;-0.013278719;0.005164499;1.911432854;0.001765866;1;0;0;
