Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;target_cos;target_sin;target_omega;filter_hip_x;filter_hip_vel
17:05:45.152676;0.131138326;0;0.001;-1.162395785;1;0;0;1.80E-11;0
17:05:45.154642;0.131138326;0;0.001;-1.162530082;1;0;0;1.80E-11;0
17:05:45.165696;0.131138326;0;0.001;-1.162654748;1;0;0;1.80E-11;0
17:05:45.176406;0.131138326;0;0.001;-1.162770453;1;0;0;1.80E-11;0
17:05:45.186505;0.131138326;0;0.001;-1.162877818;1;0;0;1.80E-11;0
17:05:45.197502;0.132123211;0.09848852;0.001;-1.163047386;1;0;0;4.12E-08;4.12E-06
17:05:45.207684;0.132123211;0.09848852;0.001;-1.163204875;1;0;0;3.52E-07;3.52E-05
17:05:45.217856;0.132123211;0.09848852;0.001;-1.163351125;1;0;0;1.51E-06;0.000150613
17:05:45.228660;0.132123211;0.09848852;0.001;-1.163486918;1;0;0;4.40E-06;0.00044015
17:05:45.239387;0.492441739;36.03185283;0.001;-1.188138125;1;0;0;2.52E-05;0.00251283
17:05:45.249556;0.492441739;36.03185283;0.001;-1.209353107;1;0;0;0.00014844;0.014808734
17:05:45.259602;0.492441739;36.03185283;0.001;-1.227741515;1;0;0;0.000584713;0.058320651
17:05:45.269988;0.492441739;36.03185283;0.001;-1.243783445;1;0;0;0.001663332;0.165893022
17:05:45.279938;0.532171416;3.972967653;0.001;-1.259829369;1;0;0;0.003769347;0.374417781
17:05:45.290560;0.532171416;3.972967653;0.001;-1.273869477;1;0;0;0.007281947;0.713350709
17:05:45.301479;0.532171416;3.972967653;0.001;-1.286223875;1;0;0;0.012532014;1.194730181
17:05:45.311490;0.532171416;3.972967653;0.001;-1.297150628;1;0;0;0.019769002;1.810567048
17:05:45.321601;0.557919324;2.574790805;0.001;-1.307869837;1;0;0;0.029136601;2.536725367
17:05:45.331622;0.557919324;2.574790805;0.001;-1.317386246;1;0;0;0.040662654;3.338070773
17:05:45.342304;0.557919324;2.574790805;0.001;-1.325871328;1;0;0;0.054260974;4.172895975
17:05:45.352976;0.554608914;-0.331041021;0.001;-1.333354328;1;0;0;0.069737643;4.9967563
17:05:45.363699;0.554608914;-0.331041021;0.001;-1.340080946;1;0;0;0.086799823;5.765509064
17:05:45.374286;0.554608914;-0.331041021;0.001;-1.346147156;1;0;0;0.105069255;6.4376434
17:05:45.385137;0.554608914;-0.331041021;0.001;-1.35163397;1;0;0;0.124100749;6.976408116
17:05:45.395905;0.528352702;-2.625621208;0.001;-1.355837457;-1;-1.22E-16;6.198377679;0.143402706;7.351646449
17:05:45.406418;0.528352702;-2.625621208;0.001;-1.359677856;-0.998582696;-0.053222175;6.171180011;0.162455895;7.540812886
17:05:45.416548;0.528352702;-2.625621208;0.001;-1.363193201;-0.9943348;-0.106293486;6.145234397;0.180731489;7.529292753
17:05:45.427677;0.528352702;-2.625621208;0.001;-1.366416653;-0.987268355;-0.159063496;6.1170243;0.197712277;7.310557489
17:05:45.437834;0.49734424;-3.100846144;0.001;-1.368540249;-0.97740339;-0.211382624;6.091545735;0.21291446;6.886191882
17:05:45.447720;0.49734424;-3.100846144;0.001;-1.370504509;-0.964767869;-0.263102564;6.066991208;0.22590343;6.265509102
17:05:45.458595;0.49734424;-3.100846144;0.001;-1.372323145;-0.949397608;-0.314076712;6.040257315;0.23630454;5.464756904
17:05:45.470982;0.553492824;5.614858351;0.001;-1.375462981;-0.931336177;-0.364160575;6.010158444;0.243817113;4.506473177
17:05:45.481973;0.553492824;5.614858351;0.001;-1.378346206;-0.910634773;-0.413212186;5.983763986;0.248234872;3.41964133
17:05:45.492959;0.553492824;5.614858351;0.001;-1.380997825;-0.887352075;-0.461092501;5.957673544;0.249463031;2.239830284
17:05:45.503292;0.546625911;-0.686691272;0.001;-1.383272976;-0.861554081;-0.5076658;5.933399082;0.247519642;1.007447495
