Time;Hip_x;Hip_vel;Hip_omega;Hip_AO;target_cos;target_sin;target_omega;filter_hip_x;filter_hip_vel
15:44:19.706364;-0.020889724;0;0.001;-2.935462812;1;0;0;-2.87E-12;0
15:44:19.708487;-0.020889724;0;0.001409387;-2.935246035;1;0;0;-2.87E-12;0
15:44:19.718503;-0.020889724;0;0.001777111;-2.935046207;1;0;0;-2.87E-12;0
15:44:19.729367;-0.020889724;0;0.002106257;-2.934862187;1;0;0;-2.87E-12;0
15:44:19.741132;-0.020889724;0;0.002399704;-2.934692905;1;0;0;-2.87E-12;0
15:44:19.751125;-0.020889724;0;0.002660146;-2.934537358;1;0;0;-2.87E-12;0
15:44:19.761676;-0.020889724;0;0.002890094;-2.934394608;1;0;0;-2.87E-12;0
15:44:19.771588;-0.020889724;0;0.003091896;-2.934263775;1;0;0;-2.87E-12;0
15:44:19.782585;-0.014741401;0.614832366;0.005854019;-2.932837748;1;0;0;2.57E-07;2.57E-05
15:44:19.792653;-0.014741401;0.614832366;0.008342766;-2.931522171;1;0;0;2.20E-06;0.000219898
15:44:19.803367;-0.014741401;0.614832366;0.01057829;-2.930309601;1;0;0;9.40E-06;0.000940232
15:44:19.814373;-0.014741401;0.614832366;0.01257941;-2.929193064;1;0;0;2.75E-05;0.002747718
15:44:19.824958;-0.01443618;0.03052203;0.014491958;-2.928101249;1;0;0;6.30E-05;0.006271621
15:44:19.834975;-0.01443618;0.03052203;0.016191688;-2.927097795;1;0;0;0.000122276;0.01200772
15:44:19.845494;-0.01443618;0.03052203;0.017694815;-2.926176642;1;0;0;0.00021082;0.020141809
15:44:19.858137;-0.01443618;0;0.019016462;-2.925332117;1;0;0;0.000332534;0.030504394
15:44:19.868234;-0.01443618;0;0.020170738;-2.924558909;1;0;0;0.000489469;0.042639925
15:44:19.879042;-0.01443618;0;0.021170797;-2.923852049;1;0;0;0.000681635;0.055900167
15:44:19.889486;-0.01443618;0;0.0220289;-2.923206885;1;0;0;0.000907008;0.069529071
15:44:19.899833;-0.01443618;0;0.022756472;-2.922619068;1;0;0;0.001161682;0.082738619
15:44:19.910655;-0.01443618;0;0.023364156;-2.922084527;1;0;0;0.001440122;0.094771336
15:44:19.920757;-0.01443618;0;0.023861861;-2.921599457;1;0;0;0.001735496;0.104948297
15:44:19.932185;-0.01443618;0;0.024258814;-2.921160297;1;0;0;0.002040043;0.112703698
15:44:19.943181;-0.01443618;0;0.024563595;-2.920763721;1;0;0;0.002345457;0.117607254
15:44:19.953833;-0.01443618;0;0.024784188;-2.920406619;1;0;0;0.002643274;0.119375816
15:44:19.964715;-0.01443618;0;0.024928013;-2.920086084;1;0;0;0.002925224;0.117875705
15:44:19.976490;-0.01443618;0;0.025001967;-2.919799402;1;0;0;0.003183561;0.113117301
15:44:19.986883;-0.01443618;0;0.025012452;-2.919544037;1;0;0;0.003411331;0.105243401
15:44:19.996977;-0.01443618;0;0.024965415;-2.919317621;1;0;0;0.003602599;0.094512857
15:44:20.007823;-0.01443618;0;0.024866369;-2.919117943;1;0;0;0.003752607;0.081280889
